tokens,tags,polarities
"['overall', 'station', 'security', 'felt', 'robust']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['enough', 'personal', 'space', 'felt', 'good']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['air', 'was', 'circulated', 'and', 'odorless']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['children', 'were', 'unattended', 'near', 'escalators']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['great', 'disabled', 'access', 'throughout', 'station']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['very', 'restful', 'journey', 'this', 'late', 'evening']","[0, 0, 1, 0, 0, 0]","[-1, -1, 2, -1, -1, -1]"
"['very', 'high', 'cleaning', 'standards', 'maintained']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['signboards', 'were', 'common']","[1, 0, 0]","[1, -1, -1]"
"['unreported', 'hazard', 'was', 'a', 'clear', 'danger']","[0, 1, 0, 0, 0, 1]","[-1, 0, -1, -1, -1, 0]"
"['clearly', 'marked', 'fire', 'exit', 'paths']","[0, 0, 1, 2, 2]","[-1, -1, 2, 2, 2]"
"['staff', 'knew', 'their', 'way', 'around', 'station']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['maps', 'displayed', 'were', 'several', 'years', 'old']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['staff', 'were', 'more', 'focused', 'on', 'their', 'phones']","[1, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1]"
"['ride', 'was', 'smooth', 'as', 'silk', 'always']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['numerous', 'security', 'staff', 'patrolling', 'area']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['lighting', 'too', 'subdued', 'for', 'reading']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['station', 'had', 'a', 'usual', 'clean', 'feel']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['no', 'charging', 'ports', 'to', 'find']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['cameras', 'were', 'installed', 'as', 'usual']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['all', 'safety', 'equipment', 'looked', 'functional']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['air', 'conditioning', 'felt', 'just', 'perfect']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['there', 'was', 'security', 'presence', 'at', 'station']","[0, 0, 1, 0, 0, 0]","[-1, -1, 1, -1, -1, -1]"
"['fire', 'exits', 'were', 'seen']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['consistent', 'temperature', 'in', 'all', 'cars']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['not', 'enough', 'space', 'for', 'bags']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['dust', 'on', 'the', 'top', 'of', 'doors']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['station', 'manager', 'was', 'very', 'approachable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['platform', 'screen', 'doors', 'are', 'great']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['no', 'litter', 'was', 'found', 'here']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['guards', 'maintained', 'a', 'strong', 'presence']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['strong', 'smell', 'of', 'paint', 'fumes']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'extreme', 'noise', 'was', 'noted']","[0, 0, 1, 0, 0]","[-1, -1, 1, -1, -1]"
"['bicycle', 'parking', 'was', 'very', 'limited']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['pleasant', 'ambient', 'sound', 'level', 'always']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['heavy', 'dust', 'on', 'most', 'available', 'surfaces']","[1, 2, 0, 0, 0, 1]","[0, 0, -1, -1, -1, 0]"
"['train', 'had', 'a', 'really', 'bad', 'smell']","[1, 0, 0, 0, 1, 2]","[0, -1, -1, -1, 0, 0]"
"['platform', 'doors', 'functioned', 'without', 'issue']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['bicycle', 'parking', 'was', 'very', 'limited']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['too', 'much', 'ambient', 'train', 'noise']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['overall', 'comfort', 'level', 'was', 'high']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['some', 'litter', 'was', 'present', 'but', 'not', 'excessive']","[0, 1, 0, 0, 0, 0, 0]","[-1, 1, -1, -1, -1, -1, -1]"
"['station', 'felt', 'generally', 'well', 'kept']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['very', 'minimal', 'vibration', 'from', 'movement']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['courteous', 'and', 'prompt', 'service', 'received']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['parking', 'facility', 'was', 'well', 'lit']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'finger', 'marks', 'on', 'screens']","[0, 1, 2, 0, 1]","[-1, 2, 2, -1, 2]"
"['serene', 'atmosphere', 'made', 'travel', 'easy']","[0, 1, 0, 1, 0]","[-1, 2, -1, 2, -1]"
"['smooth', 'and', 'predictable', 'train', 'movements']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['abrupt', 'train', 'movements', 'were', 'frequent']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['service', 'quality', 'was', 'truly', 'outstanding']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['platform', 'was', 'exceptionally', 'tidy', 'this', 'evening']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['slippery', 'floor', 'when', 'it', 'rains']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['no', 'major', 'cleanliness', 'issues', 'seen']","[0, 0, 1, 2, 0]","[-1, -1, 1, 1, -1]"
"['overall', 'cabin', 'hygiene', 'was', 'lacking']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['all', 'basic', 'facilities', 'were', 'available']","[0, 0, 1, 0, 0]","[-1, -1, 1, -1, -1]"
"['gleaming', 'clean', 'surfaces', 'everywhere', 'seen']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['felt', 'a', 'little', 'unsafe', 'alone']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['very', 'poor', 'state', 'of', 'station', 'restrooms']","[0, 0, 1, 2, 2, 2]","[-1, -1, 0, 0, 0, 0]"
"['overall', 'platform', 'tidiness', 'was', 'poor']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['seat', 'fabric', 'felt', 'itchy', 'cheap']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['overall', 'station', 'customer', 'service', 'poor']","[1, 2, 2, 2, 0]","[0, 0, 0, 0, -1]"
"['impeccable', 'platform', 'area', 'was', 'very', 'welcoming']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['staff', 'attitude', 'was', 'average']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['cabin', 'air', 'was', 'perfectly', 'temperate']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['safety', 'inspections', 'seemed', 'to', 'be', 'thorough']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['strong', 'smell', 'of', 'old', 'fried', 'food']","[1, 2, 0, 0, 1, 2]","[0, 0, -1, -1, 0, 0]"
"['no', 'updates', 'provided', 'during', 'long', 'delay']","[0, 1, 0, 0, 1, 2]","[-1, 0, -1, -1, 0, 0]"
"['mobile', 'signal', 'strong', 'throughout', 'station']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['strong', 'unpleasant', 'odor', 'in', 'lift']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['felt', 'uneasy', 'due', 'to', 'poor', 'lighting']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['well', 'lit', 'station', 'feels', 'safer']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['waiting', 'areas', 'were', 'cold', 'drafty']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['problem', 'was', 'fixed', 'with', 'minimal', 'delay']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['train', 'had', 'a', 'very', 'gentle', 'sway']","[1, 0, 0, 0, 1, 2]","[2, -1, -1, -1, 2, 2]"
"['stairs', 'were', 'available', 'as', 'usual']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['no', 'dust', 'on', 'the', 'advertising', 'panels']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['not', 'many', 'handrails', 'to', 'grip']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['nice', 'cool', 'air', 'inside', 'train']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['difficult', 'to', 'communicate', 'with', 'attendant']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['constant', 'security', 'patrols', 'were', 'seen']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['quiet', 'journey', 'allowed', 'for', 'easy', 'reading']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['station', 'personnel', 'were', 'quick', 'to', 'guide']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['conflicting', 'information', 'from', 'different', 'staff', 'members']","[0, 1, 0, 0, 1, 2]","[-1, 0, -1, -1, -1, -1]"
"['conflicting', 'information', 'from', 'different', 'staff', 'members']","[0, 1, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['clean', 'and', 'modern', 'station', 'design']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['felt', 'slightly', 'nervous', 'waiting', 'alone']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['found', 'old', 'food', 'under', 'bench']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['platform', 'safety', 'gates', 'were', 'reliable']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['thick', 'dust', 'on', 'window', 'ledges']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['surfaces', 'were', 'polished', 'and', 'shining']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['felt', 'all', 'the', 'track', 'imperfections']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['stairs', 'felt', 'narrow', 'and', 'steep']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['the', 'carriage', 'was', 'too', 'humid']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['found', 'a', 'used', 'mask', 'onboard']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['waiting', 'benches', 'are', 'quite', 'old']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['bicycle', 'rack', 'usage', 'was', 'moderate']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['multilingual', 'staff', 'were', 'extremely', 'valuable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['service', 'agents', 'were', 'very', 'uninformed']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['restroom', 'doors', 'did', 'not', 'lock', 'properly']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['useful', 'interactive', 'maps', 'were', 'available']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['generally', 'untidy', 'and', 'somewhat', 'dirty', 'station']","[0, 1, 0, 0, 1, 2]","[-1, 0, -1, -1, 0, 0]"
"['people', 'were', 'ignoring', 'all', 'safety', 'rules']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['service', 'standards', 'have', 'dropped', 'noticeably']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['emergency', 'exits', 'were', 'partially', 'blocked']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['staff', 'always', 'seem', 'happy', 'to', 'help']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['language', 'barrier', 'with', 'some', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['felt', 'very', 'well', 'cared', 'for', 'by', 'staff']","[0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, 2]"
"['bad', 'smell', 'from', 'the', 'toilets']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1]"
"['no', 'water', 'bottle', 'refill', 'points']","[0, 1, 2, 2, 2]","[-1, 0, 0, 0, 0]"
"['serene', 'and', 'calm', 'journey', 'to', 'work']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, -1, -1]"
"['walkways', 'were', 'wide', 'and', 'unobstructed']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['thick', 'layers', 'of', 'dust', 'everywhere']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['station', 'staff', 'were', 'extremely', 'courteous']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['overall', 'platform', 'hygiene', 'was', 'just', 'okay']","[1, 2, 2, 0, 0, 0]","[1, 1, 1, -1, -1, -1]"
"['overall', 'staff', 'was', 'neutral']","[0, 1, 0, 0]","[-1, 1, -1, -1]"
"['station', 'looked', 'rather', 'neglected', 'overall']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['swift', 'and', 'efficient', 'handling', 'of', 'query']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['smooth', 'ride', 'no', 'sudden', 'jolts']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['overall', 'station', 'service', 'was', 'subpar']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['wifi', 'was', 'fast', 'and', 'reliable']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['handrails', 'were', 'clean', 'enough']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['train', 'times', 'were', 'highly', 'inaccurate']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['hard', 'to', 'balance', 'when', 'standing']","[0, 0, 1, 0, 2]","[-1, -1, 0, -1, 0]"
"['train', 'felt', 'old', 'and', 'rickety']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['clean', 'and', 'functional', 'station', 'layout']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['pleasant', 'and', 'low', 'ambient', 'noise']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['turnstiles', 'were', 'efficient', 'and', 'quick']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['train', 'crowding', 'levels', 'were', 'manageable']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['customer', 'service', 'hotline', 'rang', 'unanswered']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['air', 'conditioning', 'was', 'making', 'strange', 'noises']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['guards', 'patrolled', 'occasionally']","[1, 0, 0]","[1, -1, -1]"
"['found', 'a', 'used', 'napkin', 'on', 'seat']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['platform', 'had', 'good', 'weather', 'protection']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['refund', 'was', 'a', 'very', 'tedious', 'process']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['emergency', 'exit', 'accessibility', 'was', 'satisfactory']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['timely', 'platform', 'change', 'notifications', 'given']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['security', 'staff', 'looked', 'very', 'professional']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['emergency', 'exits', 'clearly', 'marked', '.']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['staff', 'showed', 'real', 'willingness', 'to', 'assist']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['stairs', 'were', 'the', 'only', 'option']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['felt', 'the', 'station', 'was', 'not', 'very', 'secure']","[0, 0, 1, 0, 0, 0, 0]","[-1, -1, 0, -1, -1, -1, -1]"
"['train', 'was', 'reasonably', 'tidy', 'inside']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['food', 'stains', 'on', 'many', 'seats']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['spotless', 'glass', 'barriers', 'were', 'everywhere']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['staff', 'appeared', 'well', 'trained', 'overall']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['ticket', 'scanner', 'was', 'very', 'temperamental']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['prayer', 'room', 'was', 'small', 'and', 'cramped']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['air', 'conditioning', 'strength', 'was', 'moderate']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['ticket', 'barriers', 'were', 'fast', 'responsive']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['some', 'trash', 'missed', 'by', 'cleaners']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['security', 'camera', 'was', 'there', 'but', 'not', 'active']","[1, 2, 0, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1, -1]"
"['felt', 'neutral', 'about', 'safety', 'inside']","[0, 0, 0, 1, 0]","[-1, -1, -1, 1, -1]"
"['clear', 'visual', 'cues', 'for', 'safety']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['safety', 'regulations', 'were', 'strictly', 'followed']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'staff', 'available', 'for', 'immediate', 'assistance']","[0, 1, 0, 0, 1, 2]","[-1, 0, -1, -1, -1, -1]"
"['no', 'staff', 'available', 'for', 'immediate', 'assistance']","[0, 1, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['confusing', 'advice', 'from', 'different', 'workers']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['escalator', 'had', 'a', 'worrying', 'juddering', 'motion']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['excellent', 'cleaning', 'staff', 'performance', 'seen']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['wifi', 'connection', 'kept', 'dropping', 'out']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['station', 'had', 'clear', 'assembly', 'points']","[1, 0, 1, 2, 2]","[-1, -1, 2, 2, 2]"
"['station', 'had', 'clear', 'assembly', 'points']","[1, 0, 1, 2, 2]","[2, -1, -1, -1, -1]"
"['floor', 'had', 'many', 'shoe', 'marks']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['parking', 'facility', 'was', 'well', 'lit']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['benches', 'available', 'as', 'expected']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['helpline', 'staff', 'seemed', 'poorly', 'trained']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'lingering', 'food', 'smells', 'thankfully']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['service', 'with', 'a', 'smile', 'every', 'time']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['maps', 'were', 'confusing', 'and', 'outdated']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['excellent', 'service', 'when', 'reporting', 'lost', 'property']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['braille', 'instructions', 'were', 'a', 'good', 'touch']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['staff', 'member', 'guided', 'me', 'patiently']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['platform', 'edge', 'doors', 'are', 'excellent']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['recycling', 'facility', 'presence', 'was', 'noted']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['train', 'had', 'minimal', 'shaking', 'or', 'any', 'jolts']","[1, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1]"
"['air', 'temperature', 'was', 'maintained', 'consistently']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['old', 'ticket', 'stubs', 'littered', 'the', 'ground']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['waste', 'bins', 'were', 'not', 'a', 'problem']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['floor', 'had', 'some', 'dried', 'mud', 'stains']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['signage', 'for', 'customer', 'service', 'was', 'hidden']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['station', 'was', 'confusing', 'to', 'get', 'around']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['some', 'dried', 'mud', 'near', 'the', 'entrance']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['ride', 'was', 'unpleasantly', 'jolting', 'often']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['smelled', 'like', 'stale', 'air', 'and', 'sweat']","[0, 0, 1, 2, 0, 0]","[-1, -1, 0, 0, -1, -1]"
"['no', 'dust', 'on', 'top', 'of', 'shelves']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['carriage', 'air', 'was', 'fresh', 'and', 'circulating']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['noise', 'level', 'was', 'bearable']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['gleaming', 'and', 'well', 'polished', 'metal', 'fixtures']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, -1, 2]"
"['seats', 'offer', 'good', 'neck', 'support']","[1, 0, 0, 0, 2]","[2, -1, -1, -1, 2]"
"['emergency', 'exits', 'clearly', 'marked', '.']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['gentle', 'swaying', 'motion', 'was', 'relaxing']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['mind', 'the', 'platform', 'gap', 'always']","[0, 0, 1, 2, 0]","[-1, -1, 1, 1, -1]"
"['ride', 'quality', 'was', 'rather', 'poor']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['station', 'agents', 'were', 'friendly', 'approachable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['some', 'liquid', 'spilled', 'near', 'doorway']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['not', 'many', 'trash', 'cans', 'visible']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['gleaming', 'floors', 'in', 'the', 'hall']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['clean', 'and', 'well', 'lit', 'station', 'platforms']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['cleanliness', 'felt', 'adequate', 'overall']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['seats', 'were', 'too', 'firm', 'and', 'unyielding']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['dim', 'platform', 'lighting', 'felt', 'unsafe']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['water', 'dispenser', 'provided', 'cool', 'water']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['not', 'much', 'room', 'for', 'strollers']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['sanitized', 'surfaces', 'felt', 'very', 'safe']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['refund', 'application', 'was', 'needlessly', 'complex']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['consistent', 'and', 'pleasant', 'train', 'temperature']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['general', 'state', 'of', 'cleanliness', 'poor']","[1, 0, 0, 2, 0]","[0, -1, -1, 0, -1]"
"['ergonomic', 'seat', 'design', 'is', 'great']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['the', 'carriage', 'was', 'pleasantly', 'cool']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['all', 'escalators', 'were', 'working', 'fine']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['standing', 'room', 'only', 'but', 'tolerable']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['air', 'quality', 'inside', 'was', 'excellent']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['information', 'desk', 'staff', 'very', 'patient']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['seating', 'was', 'okay', 'nothing', 'great']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['ample', 'leg', 'room', 'is', 'good']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['lighting', 'in', 'walkways', 'was', 'sufficient']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['not', 'much', 'room', 'for', 'strollers']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['no', 'lingering', 'perfume', 'scents', 'thank', 'goodness']","[0, 1, 2, 2, 0, 0]","[-1, 1, 1, 1, -1, -1]"
"['visible', 'need', 'for', 'more', 'frequent', 'cleaning']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['platform', 'appeared', 'freshly', 'mopped', 'clean']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['visible', 'cleaning', 'team', 'working', 'very', 'diligently']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['swift', 'and', 'professional', 'response', 'to', 'query']","[0, 0, 1, 2, 0, 0]","[-1, -1, 2, 2, -1, -1]"
"['basic', 'safety', 'tools', 'present']","[0, 1, 2, 0]","[-1, 1, 1, -1]"
"['train', 'information', 'was', 'often', 'incorrect']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['some', 'food', 'spills', 'near', 'the', 'bins']","[0, 1, 2, 0, 0, 1]","[-1, 0, 0, -1, -1, 0]"
"['loud', 'noises', 'from', 'the', 'tracks']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1]"
